id,n_moa,is_Activated
id_000644bb2,1,True
id_000779bfc,0,False
id_000a6266a,3,True
id_0015fd391,0,False
id_001626bd3,1,True
id_001762a82,1,True
id_001bd861f,0,False
id_0020d0484,1,True
id_00224bf20,0,False
id_0023f063e,1,True
id_002452c7e,1,True
id_0024bcd70,2,True
id_0025c5949,1,True
id_00289dc6e,1,True
id_002d31e2c,0,False
id_002e08ff8,1,True
id_002fb9c19,2,True
id_0031dd989,1,True
id_003603254,4,True
id_0036b0342,1,True
id_0039a2ff9,1,True
id_003b43239,2,True
id_003d4b6f0,1,True
id_003fdd734,1,True
id_00505b3c8,1,True
id_0054388ec,0,False
id_00548fd5c,2,True
id_00578737a,1,True
id_005c3cb48,1,True
id_005c3ee1a,1,True
id_0062bfc63,0,False
id_0063cd461,0,False
id_006e27d96,1,True
id_006f253ab,0,False
id_006f6dbd6,1,True
id_0070c63e7,0,False
id_00762e877,0,False
id_0077e36b9,1,True
id_0079af0fb,0,False
id_0079d45d3,0,False
id_007bfbb91,0,False
id_0080f169f,1,True
id_00816e002,1,True
id_00849b0f8,0,False
id_00872d938,0,False
id_0089590d4,1,True
id_008a18cef,0,False
id_008a986b7,0,False
id_008b48693,1,True
id_008c40337,0,False
id_008dfb160,0,False
id_008f35497,1,True
id_008f5b224,1,True
id_0090da7e9,0,False
id_009140ea3,1,True
id_0092c905e,1,True
id_009379beb,1,True
id_0093bf6b8,3,True
id_0094ce209,1,True
id_00997a3a8,1,True
id_009afed7f,1,True
id_009bb5487,1,True
id_009d60bd9,1,True
id_009d8340f,0,False
id_009da9c07,2,True
id_00a4acf2d,1,True
id_00a5912c8,0,False
id_00a6e782e,1,True
id_00ac7c837,0,False
id_00b363e33,0,False
id_00be9e759,1,True
id_00bee1bc5,1,True
id_00c240861,0,False
id_00c3672d5,1,True
id_00c99b509,1,True
id_00ceee87f,1,True
id_00cf039a7,2,True
id_00cf304ae,1,True
id_00cfd9aea,1,True
id_00d41e2da,1,True
id_00d421ae2,1,True
id_00d575cfb,0,False
id_00ea9ff8b,0,False
id_00eae2e04,1,True
id_00eb9953e,1,True
id_00f08ca12,1,True
id_00f11ed38,1,True
id_00f3fd495,1,True
id_00f532aa2,1,True
id_00f62af34,2,True
id_00f92f0b2,0,False
id_00f982099,1,True
id_00fb2c241,1,True
id_00fe43a96,1,True
id_00ff52a2c,0,False
id_010385a91,1,True
id_010629f4f,0,False
id_0106bfcfd,0,False
id_010aa48d5,0,False
id_010b6dcd3,1,True
id_010d00d5f,0,False
id_0112a0b2a,1,True
id_0114aaed0,0,False
id_0118c5902,0,False
id_011c284f7,1,True
id_0124188e4,0,False
id_01286cb48,1,True
id_012a2d925,1,True
id_0131c7fbd,1,True
id_01321cc2b,0,False
id_01358cd02,1,True
id_013caefbf,1,True
id_013cc7eca,1,True
id_013d94d49,1,True
id_014092333,0,False
id_01424b2ca,1,True
id_014466728,0,False
id_0144e88e8,0,False
id_014e9ee08,0,False
id_01534c4ee,2,True
id_0157eefb3,1,True
id_01587ff16,0,False
id_0160300d7,0,False
id_0162da5e3,1,True
id_016364d11,1,True
id_0165cb330,1,True
id_016f18b33,0,False
id_016f3905a,1,True
id_0175478e7,1,True
id_017652e9a,1,True
id_017c7a597,1,True
id_017e29d4d,1,True
id_017f108a9,1,True
id_018492dbc,0,False
id_01856bbd5,0,False
id_01882cf6e,0,False
id_018e83eec,0,False
id_018eabd67,1,True
id_018fc6bfa,0,False
id_0192489a1,1,True
id_019351a82,1,True
id_01952a294,0,False
id_01977bb32,0,False
id_019a1ab73,0,False
id_019c2d7db,1,True
id_01a39024a,1,True
id_01a4f84b2,1,True
id_01ac1b14a,1,True
id_01b05de6c,0,False
id_01b1c6ab8,0,False
id_01b2f93ae,0,False
id_01b3f1a27,1,True
id_01b44b61f,1,True
id_01b5073a7,0,False
id_01b5f3aea,1,True
id_01b6623ce,1,True
id_01b6efc7f,0,False
id_01bbbbcaa,1,True
id_01befe536,1,True
id_01c5c9827,0,False
id_01c5e202c,0,False
id_01c65d875,0,False
id_01c720273,1,True
id_01cb69424,0,False
id_01d1797b9,1,True
id_01d1e527e,0,False
id_01d50787a,0,False
id_01d6bfb4b,1,True
id_01d945f63,1,True
id_01df54942,0,False
id_01e740d5f,0,False
id_01e746d96,1,True
id_01e7ece50,1,True
id_01e84e099,1,True
id_01f054954,1,True
id_01f1c58a2,0,False
id_01f2bd826,1,True
id_01f3ec600,1,True
id_01f476574,3,True
id_01fa77927,0,False
id_01fc89a5a,1,True
id_0202d08e5,1,True
id_0203a4cf8,1,True
id_02047dd63,0,False
id_02058f39b,0,False
id_02088f9bb,0,False
id_020ba48d9,0,False
id_020c2527f,1,True
id_020e66e33,0,False
id_0210cba6a,1,True
id_021136b7d,1,True
id_02113de68,1,True
id_02137cac4,1,True
id_021516fa7,0,False
id_021559549,1,True
id_0218bcb2f,1,True
id_021d658ac,0,False
id_021dc1d49,1,True
id_021fd592f,0,False
id_02210c40e,1,True
id_02221530e,1,True
id_022558d3e,0,False
id_0227c6599,1,True
id_02291b0ea,0,False
id_022a1f85a,0,False
id_022ab81bd,1,True
id_022df136b,0,False
id_023316930,1,True
id_02331a1f5,1,True
id_0236e3425,2,True
id_02371db3b,1,True
id_023973212,1,True
id_0239a6604,1,True
id_023bd0a50,0,False
id_023d26b33,1,True
id_0241f1f99,1,True
id_024629df9,0,False
id_02485b4ba,1,True
id_024a52260,2,True
id_024e15575,0,False
id_024f6faa6,1,True
id_025195b8c,1,True
id_025280178,1,True
id_0253eabda,0,False
id_02547851c,1,True
id_02567e372,1,True
id_0256f3535,1,True
id_02573df9e,1,True
id_025764b09,1,True
id_0259d5047,0,False
id_0263807a7,0,False
id_026459674,0,False
id_026a80642,0,False
id_026ccd84a,0,False
id_026ecf01e,1,True
id_027496360,1,True
id_02758a23e,1,True
id_0275dcc10,0,False
id_0276dba27,0,False
id_0279a7232,0,False
id_0279e8025,1,True
id_027ddd814,1,True
id_028115571,0,False
id_0285c7eb7,1,True
id_028638ca1,0,False
id_028aa6774,1,True
id_028b6d60d,2,True
id_028e3e413,0,False
id_028f92703,0,False
id_0290cfd3b,2,True
id_02922b4ab,1,True
id_02945c933,1,True
id_02973bcb5,1,True
id_029833ce8,0,False
id_0299389e5,1,True
id_029cae7c4,1,True
id_02a2dee60,1,True
id_02a5e52d3,1,True
id_02a82c5dd,1,True
id_02a8ee101,1,True
id_02aa7e9b8,2,True
id_02ae0e8cf,0,False
id_02b02aaed,1,True
id_02b0430ff,1,True
id_02b157b78,0,False
id_02b2fc262,0,False
id_02b333e98,1,True
id_02bc5cb63,1,True
id_02c417942,0,False
id_02c5a6aeb,0,False
id_02c749b75,1,True
id_02c93b4a5,0,False
id_02cb33e37,0,False
id_02d0b8a41,0,False
id_02d4fc86a,0,False
id_02d9e7c10,0,False
id_02e412b06,0,False
id_02e87ef1b,0,False
id_02e8f0488,1,True
id_02e97862b,0,False
id_02ea1d24d,1,True
id_02f107491,1,True
id_02f5e8e31,1,True
id_02f75e527,1,True
id_02f8cc9c9,0,False
id_02f9e8511,1,True
id_02fbfc86c,1,True
id_0300b2550,0,False
id_0300c1f7a,1,True
id_03033f263,2,True
id_03059e32e,0,False
id_03091bb82,1,True
id_030afe714,1,True
id_030c91a99,1,True
id_030e981da,1,True
id_03137701c,2,True
id_0314fab9c,2,True
id_0317f5a12,0,False
id_03199b81f,0,False
id_031ae839c,1,True
id_03232ce81,0,False
id_03237b046,1,True
id_032f44bbf,1,True
id_033492d88,0,False
id_033cf584a,1,True
id_033dfda16,1,True
id_0342d07e0,0,False
id_0343591d3,1,True
id_03495fee6,0,False
id_034af0742,1,True
id_034de71b9,1,True
id_0353ca747,0,False
id_0357299bc,0,False
id_035c5cb20,0,False
id_035d3f00d,1,True
id_0366331b7,0,False
id_0369e1b47,1,True
id_036f8d29e,1,True
id_03741da7d,2,True
id_037748763,1,True
id_03776c704,1,True
id_037a21cdf,0,False
id_038300792,1,True
id_038675049,1,True
id_0388db71e,0,False
id_038cf4f1b,1,True
