id,tweet_text,tweet_date,query_used,filtered_words,join_f_words,num_words_text,num_words_join,diff_in_words
1046764676707753987,Apartamento Vila Mariana Praça Monteiro dos Santos O iMudou é especialista em imóveis e encontrou 7 oportunidades para a busca apartamento vila mariana praca monteiro dos santos. Temos as ofertas com o menor preço! :) https://t.co/8JlJ0N1Ewe,Mon Oct 01 14:12:01 +0000 2018,:),"['apartamento', 'vila', 'mariana', 'praça', 'monteiro', 'santos', 'mudar', 'especialista', 'imóveis', 'encontrar', 'oportunidades', 'buscar', 'apartamento', 'vila', 'mariana', 'praça', 'monteiro', 'santos', 'ofertas', 'menor', 'preço']",apartamento vila mariana praça monteiro santos mudar especialista imóveis encontrar oportunidades buscar apartamento vila mariana praça monteiro santos ofertas menor preço,36,21,15
1047329264943751169,@FalleNCS @BrasilGameShow quero 1x1 de scout. Dizem que dou muita bala cagada :),Wed Oct 03 03:35:29 +0000 2018,:),"['querer', 'scout', 'dizer', 'dar', 'muita', 'bala', 'cagar']",querer scout dizer dar muita bala cagar,13,7,6
1045443874947313665,mais uma analógica no correio à minha espera :D Só falta receber duas lentes e começar a revelar em casa.,Thu Sep 27 22:43:37 +0000 2018,:),"['analógica', 'correio', 'esperar', 'd', 'falta', 'receber', 'duas', 'lentes', 'começar', 'revelar', 'casa']",analógica correio esperar d falta receber duas lentes começar revelar casa,20,11,9
1040484298711814144,"Em festa de posse como presidente do STF, Toffoli canta Legião Urbana https://t.co/IEs709I35Z",Fri Sep 14 06:16:02 +0000 2018,folha,"['festa', 'posse', 'presidente', 'senado', 'relator', 'cantar', 'legião', 'urbana']",festa posse presidente senado relator cantar legião urbana,13,8,5
1045411876887306240,@thethiagor @jubsilva @GSCISA @GrupoMulheRIs A Flávia tem tuiter também @fmedeirosss :),Thu Sep 27 20:36:28 +0000 2018,:),"['flávia', 'twitter']",flávia twitter,11,2,9
1046755008824455168,"@putaqueparola @aaa_nie @jrpilar @DCM_online Brincadeiras: não pode de um lado, pode de outro. De um lado é ódio, do outro só meme. Deu pra entender sim, obrigado :)",Mon Oct 01 13:33:36 +0000 2018,:),"['brincadeiras', 'poder', 'lado', 'poder', 'outro', 'lado', 'ódio', 'outro', 'meme', 'dar', 'entender', 'sim', 'obrigar']",brincadeiras poder lado poder outro lado ódio outro meme dar entender sim obrigar,28,13,15
1049323059369447425,"Tem um senhor de idade aqui no hospital onde eu estou, chorando de dor e chamando o nome dos filhos dele Ele tá internado sem nenhum acompanhante. Estou muito triste :(",Mon Oct 08 15:38:07 +0000 2018,:(,"['senhor', 'idade', 'aqui', 'hospital', 'onde', 'chorar', 'dor', 'chamar', 'nome', 'filhos', 'internar', 'nenhum', 'acompanhante', 'triste']",senhor idade aqui hospital onde chorar dor chamar nome filhos internar nenhum acompanhante triste,31,14,17
1049032860626247682,"Votação de brasileiros no exterior deve ser recorde, diz Itamaraty https://t.co/o2Hzp5F390",Sun Oct 07 20:24:58 +0000 2018,veja,"['votação', 'brasileiros', 'exterior', 'dever', 'ser', 'recorde', 'dizer', 'itamaraty']",votação brasileiros exterior dever ser recorde dizer itamaraty,11,8,3
1037681285689475072,#Fato isto explica tudo https://t.co/tcz7JEG3Bw,Thu Sep 06 12:37:52 +0000 2018,#fato,"['fato', 'explicar', 'tudo']",fato explicar tudo,5,3,2
1049319300551593989,@LauandaVentura Vou tentar mais uma vez :-),Mon Oct 08 15:23:11 +0000 2018,:),"['ir', 'tentar', 'vez']",ir tentar vez,7,3,4
1048408675709333505,Oi eu sou a criança deprimida :) https://t.co/p13tvMUSSq,Sat Oct 06 03:04:41 +0000 2018,:),"['oi', 'criança', 'deprimida']",oi criança deprimida,8,3,5
1048397104014667777,"@jelenatype voltei, é q tu nao manda mais msg acaba nem sabendo grr, mas inclusive eu ganhei :P https://t.co/vdODqE88yo",Sat Oct 06 02:18:42 +0000 2018,:),"['voltar', 'mandar', 'mensagens', 'acabar', 'saber', 'grã', 'inclusive', 'ganhar', 'p']",voltar mandar mensagens acabar saber grã inclusive ganhar p,19,9,10
1049137986766626817,"Eu nunca pensei que, um dia, eu ia fugir dos meus problemas... Mas eu nem voto, então não coloquem a culpa em mim :) https://t.co/6WTAiisFaV",Mon Oct 08 03:22:42 +0000 2018,:),"['nunca', 'pensar', 'dia', 'ia', 'fugir', 'problemas', 'votar', 'então', 'colocar', 'culpa', 'mim']",nunca pensar dia ia fugir problemas votar então colocar culpa mim,25,11,14
1045365438677471232,"@canhascp @sttoyan Obg, era mm isso :) abraço",Thu Sep 27 17:31:57 +0000 2018,:),"['obrigar', 'abraço']",obrigar abraço,8,2,6
1046717854110949377,"@giordanelages Oh, Gio :(( Sinto muito! Forças e bênçãos pra você e sua família",Mon Oct 01 11:05:58 +0000 2018,:(,"['oh', 'gio', 'sentir', 'forças', 'bênçãos', 'família']",oh gio sentir forças bênçãos família,14,6,8
1042428359647604737,Grupo flagrado tentando usar ônibus sem pagar na Colômbia é obrigado a limpar o chão https://t.co/SaROcR2po0,Wed Sep 19 15:01:02 +0000 2018,folha,"['grupo', 'flagrar', 'tentar', 'usar', 'ônibus', 'pagar', 'colômbia', 'obrigar', 'limpar', 'chão']",grupo flagrar tentar usar ônibus pagar colômbia obrigar limpar chão,16,10,6
1041768009285742592,Cinco bons podcasts para ouvir e acompanhar https://t.co/ppgDDjYHqC,Mon Sep 17 19:17:03 +0000 2018,folha,"['cinco', 'bons', 'podar', 'ouvir', 'acompanhar']",cinco bons podar ouvir acompanhar,8,5,3
1049103110117965824,@edivaldo1000 Mandei DM. Verifica lá. :),Mon Oct 08 01:04:07 +0000 2018,:),"['mandar', 'dm', 'verificar', 'lá']",mandar dm verificar lá,6,4,2
1031296850257764352,Esses jogos do Brasileirão só servem para realçar a lista de dispensas para 2019! #Fato,Sun Aug 19 21:48:24 +0000 2018,#fato,"['jogos', 'paulistão', 'servir', 'realçar', 'lista', 'dispensas', 'fato']",jogos paulistão servir realçar lista dispensas fato,15,7,8
